"","Age","Gender","Country","state","family_history","self_employed","remote_work","tech_company","care_options","wellness_program","seek_help","anonymity","leave","treatment","benefits","supervisor","mental_health_interview","mental_health_consequence","phys_health_interview","mental_vs_physical","obs_consequence"
"43",44,"Male","United States","IA","Yes","No","No","No","No","No","Don't know","Don't know","Don't know","Yes","Yes","No","No","Yes","Maybe","Don't know","Yes"
"44",26,"Female","Poland",NA,"No","No","Yes","Yes","Not sure","Yes","Yes","Yes","Very easy","Yes","Don't know","Yes","Maybe","No","Yes","Yes","No"
"45",27,"Male","United Kingdom",NA,"No","No","No","Yes","Not sure","No","Yes","Don't know","Somewhat easy","No","Yes","Yes","Maybe","No","Maybe","Yes","No"
"46",26,"Male","France",NA,"No","No","No","Yes","No","No","No","Don't know","Very easy","No","No","No","No","Yes","No","No","Yes"
"47",35,"Male","Canada",NA,"No","No","No","Yes","No","No","No","Don't know","Somewhat easy","No","Don't know","Yes","No","No","Maybe","Don't know","No"
"48",40,"Male","United States","CA","Yes","No","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","No","Yes","No","No","Yes","No","No","Yes"
"49",23,"Female","Australia",NA,"Yes","No","Yes","Yes","Not sure","No","No","Don't know","Very easy","Yes","No","Yes","No","No","Maybe","Yes","No"
"50",36,"Male","United States","TX","No","No","Yes","Yes","No","Don't know","Yes","Don't know","Don't know","No","Yes","Some of them","Maybe","Maybe","Yes","Yes","No"
"51",31,"Female","United States","NM","No","No","Yes","No","No","Don't know","Don't know","Don't know","Don't know","No","Don't know","No","No","Maybe","Maybe","Don't know","No"
"52",34,"Male","United States","NY","No","Yes","Yes","Yes","No","No","No","Don't know","Don't know","No","No","No","No","Maybe","No","Don't know","No"
"53",28,"Male","France",NA,"No","No","No","Yes","No","No","No","Don't know","Don't know","No","No","Some of them","No","Maybe","No","Don't know","No"
"54",34,"Male","Canada",NA,"No","No","No","Yes","Not sure","Don't know","Don't know","Don't know","Somewhat easy","No","Don't know","Yes","No","No","No","Don't know","No"
"55",23,"Trans","United States","MA","No","No","No","Yes","Yes","No","No","Yes","Somewhat difficult","No","Yes","Yes","No","Maybe","No","No","No"
"56",38,"Male","United Kingdom",NA,"No","No","No","Yes","No","No","Don't know","Yes","Somewhat easy","No","No","Yes","Maybe","No","Yes","Yes","No"
"57",33,"Male","United States","CA","No","No","No","Yes","Not sure","Yes","Don't know","Don't know","Don't know","No","Don't know","Some of them","No","Maybe","Maybe","Yes","No"
"58",19,"Male","United Kingdom",NA,"No","No","No","Yes","Yes","No","No","No","Somewhat difficult","No","No","No","No","Yes","Maybe","No","No"
"59",25,"Male","United States","WA","No","No","Yes","Yes","Yes","Yes","Yes","Don't know","Don't know","No","Yes","Yes","Maybe","No","Yes","Yes","No"
"60",31,"Male","United States","WA","Yes","Yes","Yes","Yes","No","No","No","Yes","Somewhat difficult","No","No","Yes","Maybe","No","Maybe","Yes","No"
"61",32,"Male","United States","UT","Yes","No","Yes","Yes","No","No","No","Don't know","Somewhat difficult","Yes","No","No","No","Yes","Yes","No","No"
"62",28,"Male","Germany",NA,"No","No","Yes","Yes","No","Don't know","Don't know","Don't know","Very easy","No","Don't know","Some of them","Maybe","No","Yes","Yes","No"
"63",38,"Male","United States","NY","Yes","No","Yes","Yes","Yes","No","Yes","Don't know","Don't know","No","Yes","Some of them","Maybe","No","Maybe","Yes","No"
"64",23,"Male","United Kingdom",NA,"No","No","No","Yes","Not sure","Yes","Don't know","Don't know","Very easy","No","Yes","Yes","Maybe","No","Maybe","Yes","No"
"65",30,"Male","Canada",NA,"No","No","No","No","No","No","No","Don't know","Don't know","No","No","Yes","No","No","No","No","No"
"66",27,"Female","United States","NY","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Yes","Yes","Yes","No","Maybe","Maybe","Yes","No"
"67",33,"Male","United States","CA","Yes","No","No","Yes","No","No","No","Don't know","Don't know","No","No","No","No","Yes","Maybe","No","No"
"68",31,"Male","United States","TX","No","No","No","Yes","Not sure","No","No","Don't know","Don't know","No","Don't know","Yes","Maybe","No","Maybe","No","No"
"69",39,"Male","United Kingdom",NA,"No","Yes","No","Yes","No","No","No","Don't know","Very difficult","Yes","No","No","No","Maybe","Maybe","No","Yes"
"70",34,"Female","United States","OR","Yes","No","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","Yes","Yes","Some of them","No","Yes","No","Don't know","No"
"71",29,"Female","United States","FL","No","No","No","Yes","Yes","No","No","Don't know","Don't know","Yes","Yes","Some of them","No","Maybe","Maybe","No","Yes"
"72",32,"Male","United States","IL","No","No","No","Yes","No","No","Don't know","Don't know","Don't know","No","Don't know","Some of them","No","No","No","Don't know","No"
"73",31,"Male","United States","NY","No","No","No","Yes","Yes","Yes","Yes","Yes","Somewhat easy","No","Yes","Yes","No","No","No","Yes","No"
"74",40,"Male","United States","TX","No","No","No","Yes","Yes","No","No","Yes","Very difficult","Yes","No","Yes","Yes","No","Yes","No","No"
"75",34,"Male","United States","OH","No","No","No","Yes","No","No","No","Don't know","Somewhat easy","No","Don't know","No","No","Maybe","Maybe","Don't know","No"
"76",18,"Trans","Russia",NA,"No","No","Yes","Yes","Yes","No","No","Yes","Somewhat easy","No","Yes","Yes","Yes","No","Yes","Don't know","No"
"77",25,"Female","Canada",NA,"No","No","No","Yes","Yes","No","Don't know","Don't know","Don't know","Yes","Yes","Yes","No","Maybe","Maybe","Don't know","No"
"78",29,"Male","United States","MN","No","No","No","Yes","No","No","Don't know","Don't know","Don't know","No","Don't know","Yes","Maybe","No","Maybe","No","No"
"79",24,"Male","United States","MO","Yes","No","No","Yes","Not sure","No","Don't know","Don't know","Somewhat easy","No","Don't know","No","No","Maybe","Maybe","Don't know","No"
"80",31,"Male","Mexico",NA,"Yes","No","No","Yes","No","No","No","Don't know","Don't know","Yes","Don't know","Yes","Maybe","No","Yes","No","No"
"81",33,"Male","United States","AZ","No","No","No","Yes","Yes","No","No","Don't know","Somewhat easy","Yes","No","No","No","Maybe","Maybe","No","No"
"82",30,"Male","United States","IN","No","No","No","Yes","Yes","No","No","Yes","Somewhat easy","Yes","No","Yes","Maybe","No","Maybe","Yes","No"
"83",26,"Female","Canada",NA,"Yes","No","No","No","Yes","No","No","No","Very difficult","Yes","No","No","No","Yes","Maybe","No","Yes"
"84",44,"Female","United States","MA","No","No","No","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","No","Yes","Some of them","No","Maybe","No","Don't know","No"
"85",25,"Male","United States","NY","Yes","No","No","Yes","No","Don't know","Don't know","Don't know","Very easy","No","Don't know","Yes","No","No","No","Don't know","No"
"86",33,"Male","United States","WI","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes","Yes","Maybe","No","Maybe","Yes","No"
"87",29,"Male","United States","NY","No","No","No","Yes","Not sure","Yes","Don't know","Don't know","Somewhat easy","No","Yes","Yes","No","No","No","Don't know","No"
"88",35,"Male","United States","MO","Yes","No","No","Yes","Not sure","No","No","Yes","Somewhat easy","No","Yes","Yes","No","No","No","Don't know","No"
"89",35,"Male","United States","OR","Yes","No","Yes","Yes","Not sure","No","No","Don't know","Somewhat easy","Yes","Don't know","Yes","No","No","Maybe","No","No"
"90",28,"Male","Brazil",NA,"Yes","No","No","Yes","No","No","No","No","Don't know","Yes","No","Yes","No","Maybe","No","Don't know","Yes"
"91",34,"Male","United States","TN","Yes","No","Yes","Yes","No","No","No","Don't know","Don't know","No","Yes","No","No","Maybe","No","Don't know","No"
"92",32,"Male","United States","WA","No","No","No","Yes","No","Yes","Yes","Yes","Somewhat difficult","Yes","Yes","Yes","No","Maybe","Maybe","Yes","No"
"93",22,"Male","United States","NY","No","No","No","Yes","Yes","No","Don't know","Yes","Don't know","Yes","Yes","No","No","Yes","Yes","No","No"
"94",28,"Male","United States","CA","No","No","No","Yes","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes","Some of them","No","No","Maybe","Yes","No"
"95",45,"Male","United States","MO","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Very easy","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"96",32,"Male","United States","NY","No","No","No","Yes","Yes","No","Don't know","Don't know","Don't know","No","Yes","Some of them","No","Maybe","No","Don't know","No"
"97",28,"Male","United States","TX","No","No","No","Yes","No","No","Don't know","Don't know","Don't know","No","Don't know","No","No","Maybe","Maybe","Don't know","No"
"98",26,"Male","United Kingdom",NA,"No","No","No","Yes","No","No","Don't know","Don't know","Very easy","No","Don't know","Some of them","No","No","No","Don't know","Yes"
"99",21,"Male","United Kingdom",NA,"No","Yes","Yes","No","Yes","No","No","Yes","Very difficult","No","No","Yes","No","Yes","Maybe","No","No"
"100",27,"Male","Canada",NA,"No","No","No","No","Yes","Yes","Yes","Yes","Very easy","No","Yes","Yes","No","Maybe","No","Don't know","No"
"101",18,"Male","United States","CT","No","No","Yes","Yes","No","No","No","Yes","Very easy","Yes","No","No","No","No","No","Don't know","No"
"102",35,"Male","United States","CO","No","No","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","No","Don't know","Yes","Maybe","No","Maybe","Don't know","No"
"103",29,"Male","United States","GA","No","No","No","Yes","Yes","No","Yes","Don't know","Don't know","No","Yes","No","No","Yes","No","Don't know","No"
"104",25,"Male","United States","DC","No","No","Yes","Yes","No","No","No","Don't know","Very easy","No","Don't know","Yes","No","No","No","Don't know","No"
"105",33,"Male","United States","MN","Yes","No","Yes","Yes","No","Don't know","Don't know","Yes","Very easy","Yes","Don't know","Yes","No","No","Maybe","Yes","No"
"106",36,"Male","United States","WA","No","No","No","Yes","No","No","No","Yes","Don't know","No","Yes","No","No","Maybe","No","Don't know","No"
"107",27,"Male","Canada",NA,"No","No","No","No","Not sure","No","No","Don't know","Very difficult","Yes","Yes","Yes","No","Maybe","Maybe","No","Yes"
"108",27,"Male","United States","WA","Yes","No","No","Yes","No","Yes","Yes","Yes","Don't know","No","Yes","No","No","Yes","Yes","Don't know","No"
"109",27,"Male","United Kingdom",NA,"No","No","No","Yes","No","No","No","Don't know","Don't know","No","No","Some of them","No","No","No","Don't know","No"
"110",32,"Male","United States","OR","No","No","No","Yes","Yes","No","Yes","Yes","Don't know","Yes","Yes","Yes","No","Yes","No","Don't know","No"
"111",31,"Male","United Kingdom",NA,"Yes","No","No","Yes","No","No","No","Don't know","Somewhat easy","No","No","No","No","Maybe","No","Yes","No"
"112",19,"Male","Slovenia",NA,"No","No","No","Yes","No","No","No","Don't know","Somewhat easy","Yes","Don't know","No","No","Yes","No","Don't know","No"
"113",33,"Male","United States","IL","Yes","No","No","Yes","Yes","No","No","Don't know","Very easy","Yes","Yes","Some of them","No","Maybe","Yes","No","No"
"114",32,"Male","United States","CA","No","No","Yes","Yes","Yes","No","No","Don't know","Very difficult","No","No","Some of them","No","Maybe","Yes","Don't know","No"
"115",27,"Male","United States","NE","No","No","No","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","No","Don't know","Yes","Maybe","No","Maybe","Don't know","No"
"116",38,"Male","Costa Rica",NA,"No","No","Yes","Yes","Yes","No","No","Yes","Somewhat easy","No","No","Yes","Maybe","No","Yes","No","No"
"117",24,"Male","Canada",NA,"No","No","No","Yes","No","No","No","Don't know","Don't know","Yes","Don't know","Yes","Maybe","No","Yes","Don't know","No"
"118",39,"Male","United Kingdom",NA,"No","No","No","No","No","No","No","Don't know","Don't know","No","No","No","No","Yes","No","Don't know","No"
"119",28,"Male","United Kingdom",NA,"No","No","No","Yes","No","No","No","Yes","Very easy","No","Don't know","Yes","Maybe","No","Maybe","Yes","No"
"120",39,"Male","United States","IA","No","No","No","Yes","Not sure","No","No","Don't know","Somewhat easy","Yes","Yes","Yes","No","No","No","Don't know","No"
"121",29,"Female","United States","MD","No","No","No","Yes","No","No","Don't know","Don't know","Somewhat easy","No","Don't know","No","No","Maybe","No","Don't know","No"
"122",22,"Male","Austria",NA,"No","No","Yes","Yes","No","Don't know","No","Don't know","Somewhat easy","No","Don't know","Some of them","No","No","No","Don't know","No"
"123",38,"Male","United States","OR","Yes","No","No","Yes","No","Don't know","Don't know","Don't know","Don't know","Yes","Don't know","Yes","No","Maybe","No","Don't know","No"
"124",37,"Male","United Kingdom",NA,"No","Yes","No","No","Yes","Yes","Yes","Yes","Very difficult","Yes","No","No","No","Yes","Maybe","Yes","No"
"125",35,"Male","United States","TX","No","No","Yes","No","Not sure","Don't know","Don't know","Don't know","Don't know","No","Don't know","No","No","Yes","Maybe","Don't know","No"
"126",30,"Female","United States","PA","Yes","No","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","No","Don't know","Some of them","No","Maybe","Maybe","Don't know","No"
"127",37,"Male","United States","IN","Yes","No","No","No","Yes","Yes","Yes","Don't know","Somewhat easy","Yes","Yes","Yes","Maybe","Maybe","Maybe","Don't know","No"
"128",24,"Male","United Kingdom",NA,"No","No","No","Yes","No","No","No","Yes","Don't know","No","No","Some of them","No","Maybe","No","Don't know","No"
"129",23,"Male","United States","WV","No","No","No","No","No","No","No","No","Somewhat easy","No","No","No","No","Yes","No","No","No"
"130",30,"Male","Ireland",NA,"No","No","No","Yes","Yes","Yes","Yes","Don't know","Somewhat easy","Yes","No","No","No","Yes","No","No","Yes"
"131",29,"Female","United States","MI","No","No","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","No","Don't know","Some of them","No","Maybe","Maybe","Don't know","No"
"132",19,"Male","Canada",NA,"Yes","Yes","Yes","Yes","Not sure","No","Yes","Yes","Somewhat easy","No","Don't know","Some of them","Maybe","Maybe","Maybe","Don't know","No"
"133",32,"Male","United States","CA","Yes","No","No","Yes","Not sure","No","No","Don't know","Very easy","No","Don't know","Some of them","No","No","Maybe","No","No"
"134",28,"Male","Poland",NA,"No","No","Yes","Yes","No","No","No","Don't know","Don't know","No","No","Yes","Maybe","No","Yes","Yes","No"
"135",36,"Male","United States","IL","No","No","No","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","No","Don't know","Some of them","Maybe","No","Maybe","Don't know","No"
"136",37,"Male","United Kingdom",NA,"Yes","No","No","No","Yes","Yes","Yes","Yes","Somewhat difficult","Yes","Yes","No","No","Yes","Yes","No","Yes"
"137",25,"Male","United States","IL","Yes","No","No","No","No","No","Don't know","Don't know","Somewhat difficult","Yes","Don't know","Some of them","No","Maybe","Maybe","No","No"
"138",27,"Male","United States","CA","Yes","No","No","Yes","No","No","Don't know","Don't know","Don't know","Yes","Don't know","Some of them","No","No","Maybe","Don't know","No"
"139",26,"Male","United States","OK","No","No","No","No","Not sure","No","No","Don't know","Don't know","No","Don't know","Yes","No","Yes","Maybe","No","No"
"140",27,"Male","United States","UT","No","No","Yes","Yes","Yes","No","No","Don't know","Somewhat difficult","Yes","No","Yes","No","Maybe","No","Don't know","Yes"
"141",25,"Male","United States","IL","Yes","No","No","Yes","Not sure","No","No","Don't know","Very easy","Yes","Don't know","No","No","Maybe","No","Don't know","Yes"
"142",36,"Male","United Kingdom",NA,"No","No","No","No","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes","Some of them","No","Maybe","Maybe","Don't know","Yes"
"143",25,"Female","United States","NY","Yes","No","No","Yes","No","No","No","Don't know","Don't know","Yes","Yes","Some of them","No","Yes","No","Don't know","No"
"144",31,"Male","United States","CA","No","No","No","Yes","No","No","Yes","Don't know","Don't know","No","Yes","Some of them","No","No","No","Don't know","No"
"145",26,"Male","United States","MA","Yes","No","No","Yes","No","No","No","Don't know","Don't know","No","Don't know","Yes","No","Maybe","No","Don't know","No"
"146",33,"Female","United States","WA","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Very difficult","Yes","No","Yes","No","No","Yes","Yes","No"
"147",27,"Female","United Kingdom",NA,"Yes","Yes","Yes","Yes","Yes","No","No","Yes","Somewhat easy","No","No","Yes","No","No","Maybe","Yes","No"
"148",34,"Male","United States","MN","No","No","No","Yes","No","No","No","Don't know","Very easy","No","No","Some of them","No","Maybe","Maybe","Don't know","No"
"149",42,"Male","United States","CA","No","No","No","Yes","Yes","No","No","Don't know","Very difficult","No","No","Yes","No","Maybe","Maybe","No","No"
"150",23,"Male","Ireland",NA,"Yes","Yes","No","Yes","No","No","No","Don't know","Very difficult","No","No","No","No","Yes","Maybe","No","No"
"151",24,"Male","United Kingdom",NA,"No","No","No","Yes","Not sure","Yes","Don't know","Don't know","Very easy","No","Don't know","Some of them","No","Maybe","Maybe","Don't know","No"
"152",26,"Male","United Kingdom",NA,"No","No","No","Yes","Yes","Don't know","Don't know","Yes","Somewhat easy","Yes","Yes","Yes","No","No","No","Don't know","No"
"153",31,"Male","United Kingdom",NA,"No","Yes","No","Yes","No","No","No","Don't know","Don't know","Yes","Don't know","Yes","No","Maybe","Maybe","Don't know","No"
"154",22,"Male","India",NA,"No","No","No","Yes","Not sure","No","No","Don't know","Very difficult","Yes","Don't know","No","Maybe","Yes","Maybe","No","No"
"155",23,"Female","United States","NC","No","No","No","Yes","No","No","Don't know","Don't know","Don't know","No","Don't know","Yes","No","Maybe","Maybe","Yes","No"
"156",34,"Female","Canada",NA,"Yes","No","No","No","Yes","Yes","No","Don't know","Somewhat easy","Yes","Yes","Yes","No","No","No","No","No"
"157",31,"Male","United States","MO","No","No","No","Yes","Not sure","No","Don't know","Don't know","Don't know","No","Don't know","Some of them","No","Maybe","Maybe","Don't know","No"
"158",28,"Male","United Kingdom",NA,"No","No","No","No","Not sure","No","Yes","Yes","Somewhat easy","No","No","Some of them","Maybe","No","Maybe","Yes","No"
"159",32,"Female","United States","MA","No","No","Yes","Yes","Not sure","Don't know","Don't know","Yes","Very easy","Yes","Yes","Yes","No","No","No","Yes","Yes"
"160",45,"Female","United States","CA","No","No","No","Yes","No","No","No","Yes","Somewhat difficult","Yes","Yes","Yes","No","No","No","Yes","No"
"161",33,"Male","United States","TX","No","No","Yes","Yes","No","No","No","Don't know","Very easy","No","Don't know","Yes","No","No","Maybe","Don't know","No"
"162",29,"Male","Mexico",NA,"No","No","Yes","Yes","No","No","No","No","Don't know","No","No","Yes","Maybe","Maybe","Yes","No","No"
"163",26,"Female","India",NA,"No","Yes","No","No","No","No","No","Don't know","Somewhat easy","No","No","Some of them","No","Maybe","No","Don't know","No"
"164",28,"Female","United Kingdom",NA,"No","No","No","Yes","No","No","Don't know","Yes","Somewhat easy","No","Don't know","Yes","Maybe","No","Maybe","Don't know","No"
"165",45,"Male","United States","CA","No","No","No","Yes","Not sure","Don't know","Don't know","Don't know","Don't know","Yes","Don't know","Some of them","No","Yes","No","Don't know","No"
"166",43,"Male","United States","WA","Yes","No","Yes","Yes","Not sure","No","Don't know","Don't know","Very difficult","Yes","Yes","No","No","Yes","No","No","No"
"167",37,"Male","United States","MA","No","No","Yes","Yes","No","No","No","Don't know","Don't know","No","Yes","No","Maybe","Yes","Yes","No","No"
"168",24,"Male","United Kingdom",NA,"No","No","No","Yes","No","No","Don't know","Don't know","Somewhat easy","No","Don't know","Yes","Maybe","Maybe","Yes","Yes","No"
"169",26,"Male","France",NA,"No","No","Yes","Yes","Yes","No","No","Don't know","Somewhat easy","No","No","No","No","No","Maybe","Yes","No"
"170",23,"Male","United Kingdom",NA,"Yes","No","Yes","Yes","No","No","No","Don't know","Don't know","No","Don't know","Yes","Maybe","No","Yes","Don't know","No"
"171",35,"Female","United States","CA","Yes","No","No","Yes","Not sure","Don't know","No","Yes","Somewhat easy","Yes","Yes","No","No","Maybe","No","Don't know","No"
"172",38,"Female","South Africa",NA,"Yes","Yes","Yes","Yes","Yes","No","No","Yes","Somewhat easy","Yes","No","Some of them","No","Maybe","Maybe","Don't know","Yes"
"173",28,"Male","United States","MI","Yes","No","No","Yes","No","No","No","Don't know","Somewhat easy","Yes","Yes","No","No","Maybe","Maybe","No","No"
"174",28,"Male","Russia",NA,"No","No","No","Yes","No","No","No","Don't know","Don't know","No","No","No","No","Yes","Maybe","Don't know","No"
"175",35,"Male","United States","CA","No","No","No","Yes","No","No","No","Yes","Don't know","Yes","No","Yes","No","No","No","Don't know","No"
"176",32,"Female","Germany",NA,"No","No","No","Yes","No","No","No","Don't know","Very difficult","No","No","No","No","Yes","No","No","Yes"
"177",31,"Male","Italy",NA,"Yes","Yes","No","Yes","No","No","No","Don't know","Somewhat easy","No","No","Some of them","No","Maybe","Maybe","Don't know","No"
"178",35,"Female","United States","NY","No","No","Yes","Yes","Not sure","No","No","Don't know","Don't know","No","Don't know","No","No","Maybe","No","Don't know","No"
"179",26,"Male","United States","CA","No","No","No","Yes","No","No","No","Yes","Somewhat easy","No","Yes","Yes","No","No","Maybe","No","No"
"180",27,"Male","United States","TN","Yes","No","Yes","Yes","Yes","No","No","Don't know","Somewhat easy","No","Yes","Some of them","No","Maybe","Maybe","Yes","No"
"181",28,"Male","United Kingdom",NA,"Yes","No","No","Yes","No","No","No","Don't know","Don't know","Yes","Don't know","No","No","Maybe","Maybe","Don't know","No"
"182",27,"Female","United States","OR","Yes","No","No","Yes","No","No","No","Don't know","Very easy","Yes","Yes","Some of them","No","No","No","Yes","No"
"183",34,"Female","United States","MN","No","No","No","No","Yes","Yes","Yes","Yes","Somewhat easy","Yes","Yes","Yes","No","Maybe","No","Yes","No"
"184",41,"Male","United States","FL","No","No","Yes","Yes","Not sure","No","No","Don't know","Very difficult","Yes","No","Some of them","Maybe","Maybe","Maybe","Don't know","No"
